SYMBOL	IlmnID
LILRB4	cg00113020
CABP1	cg00113951
AMD1	cg00115714
ADAMTSL1	cg00116234
FLJ40125	cg00116838
RUNX3	cg00117172
LAMP3	cg00119079
KDM4C	cg00121158
ASTN2	cg00121640
MAOB	cg00121904
RFX5	cg00123035
WNT3	cg00126034
SSX6	cg00126657
BTK	cg00126698
HSD17B10	cg00128197
TIGD7	cg00128560
C14orf102	cg00128654
KIAA0494	cg00128766
MKNK1	cg00128877
CDK2	cg00129774
POLR2J	cg00131121
DNAJC15	cg00131557
CTNNA3	cg00132141
CD276	cg00133909
UBASH3A	cg00134539
MYH1	cg00134787
C3orf37	cg00135056
FGG	cg00135393
GNPTAB	cg00136105
IL21	cg00136405
C1QC	cg00136477
THOC5	cg00136736
PMEPA1	cg00138126
HCLS1	cg00141162
CCNB3	cg00141550
UPRT	cg00141845
NMUR1	cg00143376
HIST3H2BB	cg00143998
GNPDA1	cg00145118
APEX2	cg00145348
FANCF	cg00146096
C3orf10	cg00149659
MGLL	cg00149976
PGK1	cg00151234
GALNS	cg00151607
SPRR2E	cg00152644
VPS13B	cg00155167
MED13L	cg00155485
PRDX2	cg00155609
APLP2	cg00156216
STK10	cg00156744
OXGR1	cg00158308
C1orf183	cg00160914
GSTA4	cg00162401
DDX58	cg00162643
HERC5	cg00164041
MAPK11	cg00164898
COL4A3BP	cg00165981
BLVRA	cg00167504
ABL1	cg00168082
WDSUB1	cg00168785
GJD4	cg00168942
BAZ1A	cg00169548
WRB	cg00171126
NUDT9	cg00171161
CMTM5	cg00174500
PALM	cg00174901
ANK1	cg00176210
PTPRA	cg00176879
ARFRP1	cg00177013
PNPO	cg00177698
LEPROTL1	cg00177923
C18orf19	cg00178790
UPF3B	cg00179446
LACE1	cg00180012
MTM1	cg00180631
PPIL3	cg00182461
MEF2A	cg00183782
HS3ST3B1	cg00183916
SFI1	cg00184884
ALOXE3	cg00184893
ZNF45	cg00185103
LRDD	cg00185839
PODXL	cg00186141
TSPYL5	cg00186701
ST5	cg00186954
HOXC5	cg00187380
TCN1	cg00187686
BANF1	cg00188348
CHST7	cg00191052
GFOD1	cg00194146
CHRM4	cg00195561
FAM53C	cg00197381
MRPL52	cg00197641
MCM5	cg00199549
USP32	cg00200063
FBLN2	cg00201234
C11orf70	cg00202702
HTR2C	cg00202711
ECH1	cg00204262
RP11-529I10.4	cg00206052
KIAA0174	cg00207534
LAMC2	cg00208830
OLFM2	cg00208967
BRD1	cg00209066
DENND2C	cg00209951
APAF1	cg00210842
ARAP1	cg00211661
SEMA5B	cg00212549
KRT6A	cg00213044
SIL1	cg00213331
TRIM32	cg00213714
PRKAR1A	cg00214346
KRT17	cg00214794
CCDC90A	cg00214855
MYO9B	cg00215066
GAP43	cg00216361
C11orf35	cg00216758
DIO2	cg00217795
FARP1	cg00221494
ACBD6	cg00223186
UBR4	cg00223950
RNMTL1	cg00224234
CDC42SE1	cg00224508
SERPINB5	cg00226904
FGD2	cg00226923
ENDOG	cg00228799
TJAP1	cg00229387
TBCK	cg00230271
IGF2R	cg00230368
CCDC60	cg00230502
SCML1	cg00230685
ACAA2	cg00231140
TUBB2A	cg00231644
VPS16	cg00231920
MAP4K1	cg00233307
TLX2	cg00234616
ZBED4	cg00234961
RARA	cg00236832
NINJ2	cg00237010
TCEAL2	cg00238052
C14orf68	cg00239071
RPS6KB1	cg00239419
GORASP1	cg00239685
CDH1	cg00240312
TWIST1	cg00240432
WISP2	cg00240880
GAPDH	cg00241355
RBM17	cg00242839
IRX4	cg00243313
ZNF117	cg00245878
CR2	cg00247489
DMRT2	cg00250430
C3orf59	cg00253200
MYLPF	cg00256074
KLHL25	cg00256166
PMM1	cg00256281
PWWP2B	cg00259755
C10orf111	cg00260778
CREBL2	cg00261552
MATN3	cg00261781
PUSL1	cg00262415
NSF	cg00263723
VAX1	cg00263760
B3GALNT2	cg00265415
MTDH	cg00265490
ADH5	cg00268009
HECTD2	cg00268338
C1orf213	cg00269115
LAIR2	cg00269932
EMILIN3	cg00273068
NHP2	cg00273124
FGF9	cg00274399
ZNF296	cg00275232
SLK	cg00276797
RAD9B	cg00278366
AMMECR1	cg00279797
ZDHHC8P	cg00280814
NXF2	cg00280894
CHD5	cg00282347
UBE3C	cg00282683
ANXA13	cg00283535
TRA2A	cg00288562
RFXAP	cg00290028
CNIH3	cg00290506
SNRPA1	cg00291877
LGALS1	cg00292662
FAM131B	cg00292971
LRRC33	cg00293409
IL23A	cg00294382
RAB7A	cg00295206
ABCB11	cg00295325
GTF2H4	cg00296685
NCRNA00173	cg00297584
UNC5D	cg00297600
IL17B	cg00298357
CMKLR1	cg00298951
RAB35	cg00301864
PPP3CA	cg00302793
HS6ST3	cg00303548
TLK2	cg00304278
BRDT	cg00307685
GAMT	cg00308133
HTR2A	cg00308665
STARD3NL	cg00309056
C17orf61	cg00309204
TSTA3	cg00311768
STARD3NL	cg00312919
ALPPL2	cg00314943
SND1	cg00315936
MTERFD1	cg00317680
CHRNA4	cg00318573
ACVR1B	cg00318865
ATP6V0D2	cg00319692
PKMYT1	cg00319761
RAB3A	cg00320243
RLF	cg00321065
CRB1	cg00321478
GIMAP4	cg00323915
NUCB2	cg00324733
C11orf75	cg00325491
DLAT	cg00327185
CASQ1	cg00327483
C1orf59	cg00328227
CSRP2	cg00331237
SYAP1	cg00331433
BANK1	cg00332153
NOL3	cg00332745
VWC2	cg00333226
GABRR1	cg00333528
MVP	cg00334507
MC2R	cg00335286
NR1H2	cg00336605
CHFR	cg00338702
MRPS33	cg00338893
ERGIC3	cg00340102
GARNL3	cg00342530
TSPO	cg00343092
GDF11	cg00344358
HGFAC	cg00344372
POTED	cg00344709
RPL34	cg00346145
MMP10	cg00347729
SCUBE3	cg00347904
CD248	cg00350296
FRMD1	cg00350478
ERGIC3	cg00350702
LASS4	cg00351011
ZNF384	cg00353953
ZIM2	cg00354258
ACSS3	cg00354572
DUSP4	cg00355802
USP4	cg00359325
RIBC1	cg00359973
IFFO1	cg00363813
TPP1	cg00364344
R3HDM2	cg00364814
NQO2	cg00365193
CHRNB3	cg00367281
TMUB1	cg00367438
C5orf22	cg00368022
SNX27	cg00368415
F2	cg00371195
ARSG	cg00374717
ABCE1	cg00375964
ZNF581	cg00376639
LTV1	cg00380464
C18orf54	cg00381076
MRPL44	cg00382515
LOC388152	cg00382991
KRT35	cg00384537
TGFBI	cg00386408
FOXP4	cg00387170
ISG20L2	cg00392257
C4orf39	cg00393585
PTPRJ	cg00394658
DNAH6	cg00396163
C2orf53	cg00396894
APOC1	cg00397545
PPOX	cg00397740
AGA	cg00398048
DCC	cg00399483
ACPL2	cg00400028
C20orf177	cg00400263
EMR3	cg00401678
LRRIQ3	cg00402366
TNMD	cg00403724
TSC22D3	cg00404599
ERP29	cg00405070
NMT1	cg00405568
HAND1	cg00405677
LCE2C	cg00406188
RFPL3	cg00406844
HHATL	cg00407150
COMMD6	cg00410419
MAPK6	cg00410576
ZNF45	cg00410831
CCDC23	cg00410895
STC1	cg00410898
CKMT1B	cg00410921
TMEM184A	cg00411097
C19orf33	cg00412772
KBTBD5	cg00412805
BCL2L10	cg00413066
ALX4	cg00415164
MAGEA2B	cg00415494
SYNPO2	cg00415978
F2RL2	cg00415993
ZNF619	cg00417297
ALX4	cg00418150
S100A6	cg00419564
SHC3	cg00420568
VPS13B	cg00420715
PGPEP1	cg00420929
C17orf91	cg00422913
SNTB2	cg00424946
MT1A	cg00425710
PEX12	cg00425792
CUTA	cg00426056
MYO18A	cg00426498
KIF27	cg00426963
TBC1D21	cg00427635
ZNF322B	cg00429618
FRK	cg00430287
LIN7B	cg00430945
ELOVL3	cg00431050
TTPAL	cg00431114
MGP	cg00431549
MRP63	cg00432979
VWA5B1	cg00433406
ARD1A	cg00434413
RSPRY1	cg00435408
STATH	cg00436282
NT5DC1	cg00436301
CYP2E1	cg00436603
KIF3B	cg00441136
STOML1	cg00441382
KLRG1	cg00443307
ISYNA1	cg00445824
F11R	cg00446235
TMC8	cg00447208
C1QTNF9	cg00448720
SPAG5	cg00449941
EMP2	cg00451635
TES	cg00453193
CALHM1	cg00453258
HMBOX1	cg00459975
ATF7IP2	cg00461841
NFATC4	cg00462311
NAGS	cg00462994
ADPRHL1	cg00463202
C6orf150	cg00463577
KRT2	cg00463848
TNFAIP1	cg00464269
LRRTM1	cg00465284
RNF139	cg00465846
SLC38A10	cg00466249
DEFB126	cg00466436
CTXN1	cg00466492
C14orf101	cg00466544
ID4	cg00468146
PPME1	cg00469635
WDR37	cg00471562
TAC3	cg00472136
ADAMTS1	cg00472814
IFNA14	cg00474004
DLL1	cg00474209
C9orf114	cg00475955
ZNF217	cg00476577
ANP32E	cg00476580
C2orf29	cg00479269
FXYD3	cg00480115
C17orf48	cg00480209
C15orf63	cg00480356
CTNNBL1	cg00481227
DDX41	cg00483154
NME3	cg00485296
CBX3	cg00485380
SOCS1	cg00487159
TPSG1	cg00488300
IL13RA2	cg00488364
MFSD8	cg00488718
FLT4	cg00489401
EPS8L3	cg00491404
PPP1R15A	cg00491839
STAT1	cg00493400
SP1	cg00495415
RALGAPB	cg00495442
ITPR2	cg00495491
ATP6V1D	cg00496170
PPEF1	cg00497084
RNPEPL1	cg00497251
SLC18A2	cg00498305
TLL1	cg00498604
MCM3AP	cg00499599
CXCL12	cg00499822
EP300	cg00500400
ALOX12B	cg00501366
ZDHHC14	cg00502442
KIAA0907	cg00503458
DLX5	cg00503840
TNFRSF19	cg00504595
GCOM1	cg00509616
PAX9	cg00509670
RMND1	cg00510787
KHDRBS1	cg00510956
CDH15	cg00511475
CYTL1	cg00512031
SLC18A2	cg00512279
IGFBP4	cg00512374
MOSC2	cg00513220
KLHL9	cg00513467
SERPINE2	cg00514407
CPZ	cg00514895
EPS8L3	cg00515905
PDE9A	cg00516481
HOXA10	cg00518911
LIMK2	cg00518989
EVI5	cg00519208
CORO7	cg00519627
TPM1	cg00520135
C5orf24	cg00520708
GPR61	cg00521434
MYCBP	cg00521598
CBLB	cg00522034
KHSRP	cg00522316
UPP1	cg00524288
KDM5B	cg00528052
STK24	cg00528967
LGI1	cg00532335
PBX1	cg00532890
SLC7A11	cg00534274
CGB	cg00534856
GATA1	cg00536175
ABCB6	cg00537910
SAG	cg00539322
FOXN2	cg00539716
PARVB	cg00539955
CSRP1	cg00540544
ACOT12	cg00540769
APP	cg00542846
DSCR10	cg00544557
TAOK3	cg00545573
PDE1C	cg00546491
LOC284837	cg00546897
ALG1	cg00547018
RAB39B	cg00547789
TUBD1	cg00547829
NPL	cg00548060
NPTX2	cg00548268
KRTAP9-4	cg00550617
C8orf78	cg00551244
ProSAPiP1	cg00554173
NR1H3	cg00554250
ZNF804A	cg00554682
CHEK1	cg00554702
TMPRSS6	cg00556408
ARHGEF7	cg00557354
AAAS	cg00559473
STXBP1	cg00560119
XKR8	cg00563229
PXK	cg00563845
TGFBR3	cg00563926
PTGDS	cg00563932
STEAP4	cg00564163
EIF3L	cg00565075
TP73	cg00565688
DSC2	cg00566759
FARP2	cg00567479
VCAN	cg00567749
C10orf118	cg00568128
STT3A	cg00568792
ABHD10	cg00569620
WDR5B	cg00571634
RUNX3	cg00572797
COL6A3	cg00573606
HLA-DMB	cg00575744
ZNF663	cg00576250
ALDOB	cg00577167
SHH	cg00577464
ZNF596	cg00578575
REG1B	cg00579393
FUT6	cg00579402
DIMT1L	cg00581156
S100G	cg00582372
RGS20	cg00582628
KRAS	cg00584022
LIMS1	cg00585790
NFKBIL1	cg00585846
CDKAL1	cg00586909
GPR152	cg00587613
FAM181A	cg00592315
COBRA1	cg00594118
RIMS3	cg00594952
STS	cg00596686
MYO1C	cg00597076
PRKCSH	cg00598858
FAM9A	cg00600110
BRWD2	cg00600684
H1FNT	cg00601486
C17orf62	cg00602891
BOK	cg00603172
SMPDL3B	cg00605270
TESK2	cg00609097
GTPBP5	cg00611397
HADH	cg00612467
INS	cg00613255
HHIPL2	cg00613344
PTPRS	cg00614413
PRTN3	cg00615241
RBM9	cg00615377
SERPINB8	cg00615915
STYK1	cg00616129
LACTB	cg00616135
NCL	cg00616369
SHISA4	cg00617305
VBP1	cg00618396
DENND2D	cg00619207
PPP6C	cg00620024
CENPF	cg00620223
ZUFSP	cg00620629
ACOT4	cg00620857
ODF3L1	cg00622552
TSPAN5	cg00622677
DOCK1	cg00623593
KANK4	cg00625425
WNT7A	cg00625653
NTRK1	cg00626119
GNS	cg00626466
REG3G	cg00627233
UGDH	cg00627286
LNX1	cg00629217
GFI1B	cg00629585
KCNQ4	cg00630164
CYB561D1	cg00630249
POLE	cg00630583
VPS33A	cg00631230
PARP9	cg00633969
HIST1H4K	cg00634577
ZNF76	cg00635481
MRRF	cg00636639
OTOP3	cg00638514
ACAP2	cg00642303
RTBDN	cg00643392
MUC3B	cg00644033
GTF2IRD2	cg00645224
IRF7	cg00645579
TMED7	cg00645922
ARSD	cg00646140
GSTO1	cg00646492
ZNF274	cg00647741
SLC17A5	cg00648153
EEF1DP3	cg00648883
EPHB2	cg00650762
YBX1	cg00650876
HSP90AB1	cg00651216
PTN	cg00653387
MGAT5B	cg00654814
ZNF509	cg00654816
ESR1	cg00655307
CCT7	cg00655779
PPARD	cg00657095
CHD8	cg00657582
RD3	cg00658007
CCDC63	cg00658626
ASAP1	cg00659129
FAM173A	cg00659953
KLHL28	cg00660989
CHCHD4	cg00661202
FOXI1	cg00661485
GALR1	cg00662556
TCEAL4	cg00662775
TTLL4	cg00665395
ZNF670	cg00666446
SYDE1	cg00666746
SLC39A5	cg00668685
CDK11A	cg00669623
SPRY1	cg00669856
ATP7B	cg00671161
ARHGAP26	cg00672638
MOSPD1	cg00673020
DOPEY2	cg00673191
SATB1	cg00674922
ADAMTS9	cg00676660
CCM2	cg00677811
MNS1	cg00678539
TRIM31	cg00679556
FAM89A	cg00679738
VTI1B	cg00682653
NEU4	cg00684178
PPFIA2	cg00685836
C12orf40	cg00686022
CAPN1	cg00686623
TMEM84	cg00687674
NDRG4	cg00687686
RAP1GDS1	cg00688421
NCSTN	cg00689010
GAST	cg00689014
RTKN	cg00689340
MAGED2	cg00690049
WFDC10B	cg00690280
RAB9A	cg00690893
NR5A1	cg00691625
KLHL13	cg00691822
TARDBP	cg00692549
UPK2	cg00693307
CBR1	cg00695416
MAT2A	cg00696900
SULT2B1	cg00698688
PLAGL1	cg00702231
C7orf43	cg00702729
KCTD15	cg00704310
COPB1	cg00704909
LILRA3	cg00705255
ATP6V0A1	cg00706536
NMNAT2	cg00707317
LECT1	cg00708598
EIF5	cg00708642
CNNM4	cg00711916
PRPF38B	cg00712898
SLA2	cg00714377
DNAJB11	cg00717862
CDKN2A	cg00718440
IGKV7-3	cg00718513
ZNF624	cg00718748
MARCH5	cg00720072
DYNLRB2	cg00720137
NOP58	cg00720723
RLN3	cg00722300
NXF1	cg00724662
NPEPPS	cg00725143
B3GALT2	cg00725635
NGFRAP1	cg00725777
PLA2G3	cg00727590
LILRA5	cg00727947
MT1F	cg00728317
MEAF6	cg00728398
C6orf27	cg00728602
C18orf16	cg00729275
FAM73B	cg00729541
LASS3	cg00729708
PALMD	cg00729875
C12orf67	cg00730260
HDAC4	cg00731459
ZNF44	cg00733682
MTCH1	cg00734993
ARPC1A	cg00736326
TBC1D1	cg00737514
TMEM147	cg00739120
TLR8	cg00741717
ZNF192	cg00743372
CXADR	cg00744433
H1FNT	cg00745543
MYPN	cg00745735
CHD8	cg00746083
BAT5	cg00746130
HDGF	cg00746981
SLC25A1	cg00747849
CDA	cg00750606
LYRM7	cg00751288
HRASLS5	cg00754253
SPACA4	cg00754617
NXNL2	cg00755043
BAAT	cg00755709
DZIP1	cg00756058
PVRL4	cg00756887
UPK2	cg00757070
CRYBB1	cg00757952
SLC43A2	cg00761755
LIAS	cg00762512
SEPT2	cg00763679
HRASLS2	cg00763889
ZNF784	cg00766729
SEPHS1	cg00766889
HOXD4	cg00767581
NAP1L3	cg00768439
DEFB129	cg00769470
ST8SIA1	cg00769520
CDKN2D	cg00770279
TULP3	cg00770871
NHLRC1	cg00772000
TCTE1	cg00775197
RASSF1	cg00777121
ARF4	cg00777555
PRPF19	cg00778920
FLJ45983	cg00779924
SLC1A5	cg00782174
BCL2L1	cg00782854
LARP1B	cg00783759
RAC1	cg00784357
FDX1L	cg00791249
C8orf41	cg00792687
UBE3A	cg00792740
GJD2	cg00792849
DDX24	cg00793648
TRIM8	cg00793774
C11orf55	cg00795268
PDCD1	cg00795812
FUT4	cg00796728
OXSR1	cg00798206
MAGEA11	cg00799727
PNMA3	cg00800095
EIF5A	cg00804048
RHOH	cg00804392
CDH13	cg00806490
DLEC1	cg00807586
REG4	cg00808492
SNX22	cg00810473
RPF1	cg00810495
RPAP3	cg00811081
DGCR2	cg00812502
TRAPPC6A	cg00814580
UQCRFS1	cg00815440
FBXO16	cg00815583
ACOT2	cg00815605
C1orf25	cg00816620
TTC14	cg00818693
CHRNB2	cg00818872
VANGL1	cg00819310
CLIP3	cg00819362
TIMELESS	cg00819696
UMPS	cg00821764
ZNF688	cg00822607
CRYGB	cg00823148
CHD4	cg00824109
VPS37A	cg00825031
PTPRZ1	cg00826384
EIF4H	cg00827369
WNT5A	cg00828602
NRIP2	cg00830029
LRIG1	cg00830393
C20orf43	cg00831028
C14orf126	cg00832517
ATPAF1	cg00832994
CREB3	cg00833393
ITGAM	cg00833777
JAKMIP2	cg00834796
TSC22D4	cg00834958
JAZF1	cg00836605
COL9A3	cg00837103
MITF	cg00838150
IL1A	cg00839584
MAN1A1	cg00839802
CHST4	cg00840403
HYAL2	cg00840516
STAG1	cg00841581
TJP2	cg00842351
CPA4	cg00845900
DLG2	cg00846036
WDR51A	cg00848394
DHRS11	cg00848397
RAB24	cg00848461
DAB1	cg00848728
ARSK	cg00849368
CRIM1	cg00850538
VNN1	cg00852964
FMNL1	cg00853068
TSNAXIP1	cg00854637
SKP1	cg00854995
PSMD14	cg00856375
CCND1	cg00858899
POMP	cg00859193
CYB5R2	cg00859655
ZNF200	cg00861635
GPRASP2	cg00862041
KCNMB3	cg00862290
FKBP5	cg00862770
PAWR	cg00864867
PARD6G	cg00870662
WDR67	cg00871453
NEIL2	cg00873037
ATOH7	cg00873937
LHFPL1	cg00874863
TAL1	cg00875272
PKN1	cg00876704
DUOXA2	cg00877887
SLC1A4	cg00877964
NPHP3	cg00881086
LOC55908	cg00881370
ZP2	cg00882451
SPRY1	cg00882832
IGFBP7	cg00884221
BZW2	cg00884529
WDR31	cg00885506
NMU	cg00886554
INTS5	cg00887101
TAOK3	cg00887547
EIF2B1	cg00887700
CCND2	cg00888007
SLC24A3	cg00888479
WDFY2	cg00888561
DEGS2	cg00890257
CCDC37	cg00891278
SMPD3	cg00891541
C16orf73	cg00892393
NGFR	cg00892798
SND1	cg00893242
EPM2AIP1	cg00893636
RPL7L1	cg00893987
SLC6A14	cg00894577
PCP4	cg00895324
CCL4L2	cg00896220
LACE1	cg00897329
SEPT11	cg00899086
SF3B1	cg00899641
ZNF22	cg00899659
YBX2	cg00901493
CTR9	cg00901652
CPSF4	cg00901683
SLC25A19	cg00901704
MLLT1	cg00901766
SYT10	cg00902195
CHL1	cg00903242
SBDS	cg00903375
MGMT	cg00904483
PLK3	cg00904574
RRS1	cg00905170
HGS	cg00906183
FANCF	cg00908551
SLC7A10	cg00910067
DHX37	cg00910168
PCDHGB4	cg00911351
PRPS1L1	cg00911873
UBTD2	cg00912191
C1orf127	cg00912942
GAD1	cg00915206
CKS1B	cg00915289
TMCO6	cg00916199
PTPN22	cg00916635
PDHB	cg00917893
REG3G	cg00918005
PPIB	cg00918794
TMOD2	cg00919857
XIAP	cg00920960
SESN1	cg00922727
GPR137	cg00925229
SCNN1B	cg00925717
ZNF3	cg00929606
HSPA1A	cg00929855
FBXO28	cg00930078
PROP1	cg00930194
ALDH1A2	cg00930873
SULT1A2	cg00931491
EGFL6	cg00932276
DLC1	cg00933411
PKP3	cg00935364
RNASE8	cg00935388
ZNF678	cg00935430
PIGZ	cg00936626
PRRG1	cg00939965
GATA6	cg00940278
FGFRL1	cg00940891
OTUD7B	cg00941229
AKAP4	cg00941549
PCDHGC5	cg00943245
GNAS	cg00943909
UBE2B	cg00943950
SEC61G	cg00945507
SLC4A5	cg00945862
H2AFV	cg00947019
LAS1L	cg00947275
KRTAP20-2	cg00948500
RNF135	cg00948524
ABCA3	cg00949442
UBE2E3	cg00949554
SRPK2	cg00950418
STARD5	cg00950621
RABGGTA	cg00951770
CCND1	cg00953256
SFRS2	cg00953277
TMSB10	cg00954003
SCD	cg00954566
RFC2	cg00955230
APBA2	cg00955451
ST3GAL2	cg00958517
C4orf50	cg00958560
CCDC9	cg00960702
PROKR1	cg00962459
SYTL4	cg00962635
SSX8	cg00962799
UBL7	cg00964109
PPP1R3A	cg00967316
BHLHB9	cg00968475
MRPL54	cg00968931
ORM2	cg00969271
ADAP1	cg00969446
PAQR9	cg00970325
C13orf31	cg00970385
POLR2H	cg00971396
TNFRSF1A	cg00973286
LASS5	cg00973334
CHRM2	cg00973677
FCGR3B	cg00974864
ATP5H	cg00976054
ZFX	cg00977690
HPSE	cg00979348
WFDC2	cg00980978
MECP2	cg00981643
CPT1B	cg00983520
CABP2	cg00983899
SRF	cg00984602
CYFIP2	cg00986320
CHRM1	cg00987015
ZNF395	cg00987379
TSPAN16	cg00988256
SLCO1B1	cg00995065
DAB2IP	cg00995152
CHST2	cg00995327
KCNA3	cg00995520
PI4K2A	cg00997424
FAM10A5	cg01000094
IL16	cg01001286
LOC388152	cg01003992
CLEC4A	cg01007201
TRH	cg01009664
EFNB3	cg01013324
MT4	cg01015871
RDX	cg01015879
DNM3	cg01017147
CSNK1G1	cg01021485
DLD	cg01025762
TRADD	cg01025842
NAP1L5	cg01026744
DOLPP1	cg01027739
ZNF219	cg01027805
SOX15	cg01029592
RPS6KA1	cg01031251
TNFRSF10D	cg01031400
CEBPG	cg01033160
ADAMTS8	cg01033938
TNFAIP6	cg01035238
PLIN1	cg01035422
RP11-631M21.2	cg01036012
RNPEP	cg01036148
C9orf46	cg01036173
SH2D3A	cg01036779
HSPA9	cg01037108
CYB5D2	cg01040062
ST3GAL5	cg01040759
MR1	cg01040850
TMEM70	cg01041367
RIC3	cg01043330
PTTG2	cg01043831
C2orf3	cg01044662
MYH10	cg01044722
GLMN	cg01045423
PIKFYVE	cg01046174
PHYH	cg01047414
VOPP1	cg01048931
BMP3	cg01049530
TYRO3	cg01050433
APOA2	cg01053621
PAEP	cg01055695
BTF3	cg01056155
GLP2R	cg01056568
BCL6	cg01057962
CDH10	cg01058368
ROR2	cg01062029
NME1	cg01063524
STAT6	cg01063813
CD55	cg01064307
SNX2	cg01064957
NDUFA12	cg01065920
FAM164A	cg01069256
L3MBTL	cg01071811
T-SP1	cg01072821
IFNA17	cg01074640
TMEM86B	cg01076838
PLAU	cg01078276
MAS1L	cg01078434
PSG5	cg01078689
FBXO33	cg01078871
MTMR1	cg01079126
IL13RA1	cg01080862
SCUBE2	cg01081263
CCNT1	cg01082679
AR	cg01086868
DCHS1	cg01086895
ARFGEF1	cg01086978
MAP3K7	cg01087382
C16orf70	cg01087710
TRAIP	cg01090445
AMACR	cg01091448
MESP1	cg01091565
MMP8	cg01092036
PPP1R3B	cg01092561
IMPG2	cg01095395
TIE1	cg01095482
KIAA0040	cg01095590
SPSB2	cg01097940
MAPK8IP3	cg01100784
CPT2	cg01100796
IL20	cg01103730
MYO9B	cg01103836
EIF2AK1	cg01104423
KIAA1632	cg01106788
TGFB1	cg01107031
CANT1	cg01107741
TCP11	cg01108476
RASGRP3	cg01109219
GTF2H3	cg01110312
KCTD13	cg01110846
ZCCHC12	cg01112452
PPP2R2B	cg01112778
CYTL1	cg01114088
TCF7	cg01116966
CYP46A1	cg01117627
C1orf116	cg01119135
HDAC10	cg01120165
SEMA4D	cg01120307
PICALM	cg01120308
CLEC4C	cg01120761
IL1RAP	cg01120898
EDAR	cg01124420
INTS9	cg01124961
PEX6	cg01125463
C9orf142	cg01126560
SYCP3	cg01127428
SF3B2	cg01128603
LRRC9	cg01129459
C19orf35	cg01129847
ACO1	cg01130192
SC65	cg01131735
MTHFR	cg01134491
STXBP5	cg01135200
CDX4	cg01135626
CSMD1	cg01136458
FOXK2	cg01137065
PPTC7	cg01137198
ZNF365	cg01137532
NFKB1	cg01137708
GDE1	cg01137737
SPNS3	cg01138020
TSN	cg01139059
GOLPH3L	cg01139966
FAM58A	cg01140782
USP25	cg01141769
C20orf141	cg01143454
KLK9	cg01144251
C20orf103	cg01144286
CDKN2C	cg01145389
CHRNG	cg01145396
DNAJC21	cg01146980
DUSP2	cg01148741
MRPS5	cg01150454
LIG3	cg01151686
CACNG2	cg01151699
HOXD4	cg01152019
FAM46C	cg01152499
IQCC	cg01154193
C10orf4	cg01154537
PACRGL	cg01154775
